,item,condition,top_rated,reviews,watchers_or_sold,buy_now_extention,delivery,bids
0,"{'title': 'Shop on eBay', 'link': 'https://ebay.com/itm/123456?hash=item28caef0a3a:g:E3kAAOSwlGJiMikD&amdata=enc%3AAQAHAAAAsJoWXGf0hxNZspTmhb8%2FTJCCurAWCHuXJ2Xi3S9cwXL6BX04zSEiVaDMCvsUbApftgXEAHGJU1ZGugZO%2FnW1U7Gb6vgoL%2BmXlqCbLkwoZfF3AUAK8YvJ5B4%2BnhFA7ID4dxpYs4jjExEnN5SR2g1mQe7QtLkmGt%2FZ%2FbH2W62cXPuKbf550ExbnBPO2QJyZTXYCuw5KVkMdFMDuoB4p3FwJKcSPzez5kyQyVjyiIq6PB2q%7Ctkp%3ABlBMULq7kqyXYA', 'price': '$20.00'}",Brand New,False,,,,"{'shipping': None, 'location': None}","{'count': None, 'time_left': None}"
1,"{'title': 'Dell E2216H 22"" Widescreen LCD Monitor 16:9 Full HD 1080p VGA DISPLAY PORT', 'link': 'https://www.ebay.com/itm/234575532528?epid=2254402559&hash=item369dca91f0:g:7~YAAOSwvJpil49h&amdata=enc%3AAQAHAAAAwKmYPVxCrjvxsgf%2F7wIov%2Bqw60%2F0VrP3rKf79THQXcmkSZDmqHIFoh%2FO9mXqMAkW5p2qSnrZ0wV071KIK9YVTzz3%2FRm82pIK7to3k22LQKEgOfJiIDcVylANeNhu%2B0SB3Cxp87jz0HDAKW%2FUWAr6OBX0IOO73gmUoW7GK3k6gmuTixIyFAE4m0ercNPJQ%2BXUzTAEGF%2F9%2FJ75hP4gsQNJ9HwUFt0XQI1%2FqgPdLlKm59sXz99tir1lN8qBntpwz5weQA%3D%3D%7Ctkp%3ABlBMULLmr8_wYA', 'price': '$72.59'}",Refurbished,False,16,,Buy It Now,"{'shipping': None, 'location': None}","{'count': None, 'time_left': None}"
2,"{'title': 'ViewSonic Curved Gaming Monitor VX2718-PC-MHD 27"" 1080p 165Hz 1ms w/ Adaptive', 'link': 'https://www.ebay.com/itm/394207643242?epid=17040290647&hash=item5bc89b466a:g:D3AAAOSwnIxibEXl&amdata=enc%3AAQAHAAAAwJWXe0NtKWB8qcDUMjwCtWDeW7wfiLaA94GHja%2FMGQ4esVGcCr8nzRhVeruC6Ty7Bq5eRA9KCKlAGITIF7Wa6KLNKEdQLjQ%2BB2Ff3IBNqxiEqTonGBClDqKB7YDqofTklx9EXJ4wYgye7Rt81Ser8F8yqgMcWR4LLs9gJ%2BrSE5NyAyFgd%2Bu4zyl8biOz4PIz8vftLr8pbqMniSHliAasqHI0%2FYVo1vrJpPmfOE4Os1%2BTIzr31trFevMdaEhajX4LKw%3D%3D%7Ctkp%3ABlBMULLmr8_wYA', 'price': '$179.99'}",Brand New,False,,,Buy It Now,"{'shipping': None, 'location': None}","{'count': None, 'time_left': None}"
3,"{'title': 'Dell UltraSharp 49"" QHD 5120x1440 32:9 Curved Monitor + Extended Warranty Bundle', 'link': 'https://www.ebay.com/itm/334374369817?epid=13026509916&hash=item4dda43fa19:g:imkAAOSwcGpiORu9&amdata=enc%3AAQAHAAAAwPym3h7ezc7KWGOXjDlO8VttPu5Rr4IFWrAYdC7zLr2Yeh8byS7zCf4lHLwCMPLwGvDUX6rcLKE209E7bzy%2FJNXKBx5oopNhFtAEdLXkJumvTw0HMJ3PN63Mw6sBCyfGeMKAlHs8Pwt%2BZvXjzLfmpuq2BJpb5ITUG99J7irvYsq98TZMKiu7RKasvaSzyA07v%2FhoWGrM3sHslQzdlgdV09VgWHvlmmGKz1FCfoa288Oo00dYSWmEqKQZN7JtFLXkSg%3D%3D%7Ctkp%3ABlBMULLmr8_wYA', 'price': '$1,699.99'}",Brand New,False,3,,Buy It Now,"{'shipping': None, 'location': None}","{'count': None, 'time_left': None}"
4,"{'title': 'Dell UltraSharp 17"" Monitor Desktop Computer PC LCD / Grade A - Lot(s) available', 'link': 'https://www.ebay.com/itm/284177706199?epid=7044587856&hash=item422a4facd7:g:1MsAAOSwHWtbxeHp&amdata=enc%3AAQAHAAAA4C%2BJlsJLDE4cbTTmJB0QCKrYcke3WvEC7B4h8C4W3FaPUgVcjDYlJVGL0686kuuCR2RFBipLzOmwrKFjBXCIcHVg2cqygjcVdR2bcVUq4X3O1FnIUYWmxadztmXQX1nRnoH2oo938eKrgsqSzIQHI%2FF9k4NSnARfUVFbx%2BHXbOxFlDfMy9jLu4GhPrQiNt%2Bpy8YdtXKfroZOmsniET8kpqpc2939yck9XacsLudJy4XOzN983TcjFw%2BJu3N9m1eYZHo24AP5dfEvkvtaksyoU9fkd%2FGQtAaxKHTGTH7bTx1h%7Ctkp%3ABFBMsuavz_Bg', 'price': '$29.99'}",Refurbished,False,23,,or Best Offer,"{'shipping': None, 'location': None}","{'count': None, 'time_left': None}"
5,"{'title': 'Grade B Scratched LCD Panel Dell P2319H 23"" Full HD LED IPS Monitor HDMI DP VGA', 'link': 'https://www.ebay.com/itm/234707261877?hash=item36a5a499b5:g:BuwAAOSw-e5iZGbv&amdata=enc%3AAQAHAAAA4Cild8dcfstKOWsNy33NejDlxZkETlxmh%2Fam1iaICMPdXGP0pS%2FZlIAsG3SAgjdAJXzOYQvei0AiexzM12oBzpZhMwetqAqI4Yq91%2FmX3%2FZzSA2mXOe3m6kEIjA30i1c2r8OhTF3o6UUfIGrrs3YUiklei2resQpxss3gt59qxj5aeN3xQliVRDGjq5%2BYhJPtoXXlpmuZClPAlIPIbzuVcUVYu7hceh%2B%2Be%2FP0zzpF7VY7y6Yk0%2BJOPjvO%2BBbg3rT%2BjEQ%2BFM8LLdSzXIRFY4Ddqh2d1ghqkbOgRIqtqf1FlLw%7Ctkp%3ABk9SR7Lmr8_wYA', 'price': '$69.99'}",Refurbished,False,,$10 off $250+ with coupon,Buy It Now,"{'shipping': None, 'location': None}","{'count': None, 'time_left': None}"
6,"{'title': 'Dell 32"" 1080p FHD LED Curved Monitor 75hz 8ms FreeSync S3222HN', 'link': 'https://www.ebay.com/itm/134206630566?epid=9050796548&hash=item1f3f56aaa6:g:Hb0AAOSw~NRjAtHe&amdata=enc%3AAQAHAAAAoCF76S3T%2F5cQ19wSuq9Hnb%2Bl8VhQ84Mxh5WLoi%2BcSv2vlewhJ7NcA4G0QIk9sQJU8o4et899kJ4K0DY%2BGY64dKiW7%2BsWLYlN4jqL%2BKV9cmdvJvX5nXNNLoQuWGo0wvmZmwgK3ZRN%2BQBw26efKm2gNbMUJk443yiU9T80OVpd6myqPRrD5ezAL%2BqoGC2RnyUBVrQyO%2BDqF%2FmS%2BbwuP5F1Mr4%3D%7Ctkp%3ABk9SR7Lmr8_wYA', 'price': '$149.99'}",Open Box,False,,,Buy It Now,"{'shipping': None, 'location': None}","{'count': None, 'time_left': None}"
7,"{'title': 'LOT 2x DELL P2219H 22inch FHD Monitors 1080P IPS w/Dual Stand +DP HDMI (Renewed)', 'link': 'https://www.ebay.com/itm/363965303016?epid=21031090139&hash=item54be05c8e8:g:mG0AAOSwCWxjD5MT&amdata=enc%3AAQAHAAAA4N3FZJn5Uaz0UY4zmPd%2BLCO4rJiIRd8qf2icKamgSqUVaIQunb%2FsAeuXZUsSYXtVnYrHEPC8EafEqLAbruNQfp3s%2FRd1EDEbj%2Bq%2F9LfH%2BoeFVco8ySY163uSSGmFB2IvfHrowVD%2FSfReiENIa4WnIuiIg1iXQdR5TKEYyMsJFgv9JgZNQFA2PgjmnxDyWJ2%2F5Q1AuJiEfgOv0oUneR3BT7UkYgm3sqE3XOQhVmuCvVE0TuihYZArnt8tLST3XAL1q22%2FuGyxv7%2BteNyVIl7UjPVGV6AiUpIEFePtA5ik8pNM%7Ctkp%3ABk9SR7Lmr8_wYA', 'price': '$145.99'}",Refurbished,False,22,,or Best Offer,"{'shipping': None, 'location': None}","{'count': None, 'time_left': None}"
8,"{'title': 'Dell 34"" Curved Video Conferencing Monitor - C3422WE', 'link': 'https://www.ebay.com/itm/165677910905?epid=12047749271&hash=item26932c4b79:g:UR8AAOSwRpdjI3L6', 'price': '$484.99'}",Certified - Refurbished,False,,,,"{'shipping': 'Free shipping', 'location': None}","{'count': None, 'time_left': None}"
9,"{'title': 'Dell UltraSharp U3421WE 34.1"" 21:9 Curved WQHD IPS Monitor', 'link': 'https://www.ebay.com/itm/165656749857?hash=item2691e96721:g:fwsAAOSwadVjG2FV', 'price': '$594.99'}",Certified - Refurbished,False,,,,"{'shipping': 'Free shipping', 'location': None}","{'count': None, 'time_left': None}"
